NEON Product,NEON Product ID,,Sampling level
Phenology Images,NEON.DP1.00033,,Plot level? Site level?
Plant phenology observations,NEON.DP1.10055,,
Plant presence and percent cover,NEON.DP1.10058,,
Small mammal box trapping,NEON.DP1.10072,,
Tick-borne pathogen status,NEON.DP1.10092,,
Ticks sampled using drag cloths,NEON.DP1.10093,,
Coarse down wood log survey,NEON.DP1.10010,DP1.00098.001,
coarse downed wood bulk density sampling,NEON.DP1.10014,,
litterfall and fine woody debris sampling,NEON.DP1.10033,,
root chemical properties,NEON.DP1.10102,,
root sampling (megapit),NEON.DP1.10066,,
soil chemical properties,NEON.DP1.10078,DP1.10078.001,soil.core_level
soil physical properties,NEON.DP1.10086,DP1.10086.001,soil.core_level
soil stable isotopes,NEON.DP1.10100,,
litter chemical properties,NEON.DP1.10031,,
plant foliar physical and chemical properties,NEON.DP1.10026,,
soil inorganic nitrogen pools and transformations,NEON.DP1.10080,DP1.10080.001,soil.core_level
soil microbe biomass,NEON.DP1.10104,,soil.core_level
Soil microbecommunity composition,NEON.DP1.10081,,soil.core_level
Soil microbe group abundances,NEON.DP1.10109,,soil.core_level
soil microbe marker gene sequences,NEON.DP1.10108,,soil.core_level
soil microbe metagenome sequences,NEON.DP1.10107,,soil.core_level
Rodent-borne Pathogen status,NEON.DP1.10064,,
Woody plant vegetation structure,NEON.DP1.10098,,